Quarter Ending,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 9 - 12 weeks,> 12-15 weeks,> 15-18 weeks,>18 weeks,> 13 - 26 weeks1,> 26 weeks,Total Waiting ,,,,,,,,,,,
30-Sep-2016,South Eastern,T & O Surgery,Acute Services,604,223,--,172,85,16,212,--,--,"1,312",,,,,,,,,,,
30-Sep-2016,South Eastern,Ophthalmology,Acute Services,265,57,--,10,4,2,37,--,--,375,,,,,,,,,,,
30-Sep-2016,South Eastern,Dermatology,Acute Services,186,96,--,85,41,22,74,--,--,504,,,,,,,,,,,
30-Sep-2016,Southern,T & O Surgery,Acute Services,824,336,--,297,288,185,27,--,--,"1,957",,,,,,,,,,,
30-Sep-2016,Southern,ENT,Acute Services,108,63,--,22,33,27,11,--,--,264,,,,,,,,,,,
30-Sep-2016,Southern,Cardiology,Acute Services,85,19,--,8,6,1,9,--,--,128,,,,,,,,,,,
30-Sep-2016,Western,Urology,Acute Services,33,3,--,3,0,1,0,--,--,40,,,,,,,,,,,
30-Sep-2016,Western,T & O Surgery,Acute Services,679,283,--,214,197,184,240,--,--,"1,797",,,,,,,,,,,
30-Sep-2016,Western,Ophthalmology,Acute Services,284,118,--,91,128,55,32,--,--,708,,,,,,,,,,,
30-Sep-2016,Western,Cardiology,Acute Services,4,0,--,0,0,0,0,--,--,4,,,,,,,,,,,
31-Dec-2016,Belfast,T & O Surgery,Acute Services,669,437,--,459,250,23,27,--,--,"1,865",,,,,,,,,,,
31-Dec-2016,Belfast,Ophthalmology,Acute Services,269,131,--,146,136,87,237,--,--,"1,006",,,,,,,,,,,
31-Dec-2016,Belfast,Dermatology,Acute Services,126,93,--,35,6,1,2,--,--,263,,,,,,,,,,,
31-Dec-2016,Northern,T & O Surgery,Acute Services,1227,472,--,362,60,3,2,--,--,"2,126",,,,,,,,,,,
31-Dec-2016,Northern,ENT,Acute Services,160,73,--,71,76,55,50,--,--,485,,,,,,,,,,,
31-Dec-2016,Northern,Ophthalmology,Acute Services,163,81,--,36,0,0,0,--,--,280,,,,,,,,,,,
31-Dec-2016,Northern,Dermatology,Acute Services,142,17,--,11,15,9,25,--,--,219,,,,,,,,,,,
31-Dec-2016,South Eastern,T & O Surgery,Acute Services,620,264,--,183,98,53,478,--,--,"1,696",,,,,,,,,,,
31-Dec-2016,South Eastern,Ophthalmology,Acute Services,199,123,--,149,22,8,71,--,--,572,,,,,,,,,,,
31-Dec-2016,South Eastern,Dermatology,Acute Services,145,86,--,66,108,34,112,--,--,551,,,,,,,,,,,
31-Dec-2016,Southern,T & O Surgery,Acute Services,317,311,--,316,287,226,55,--,--,"1,512",,,,,,,,,,,
31-Dec-2016,Southern,ENT,Acute Services,87,42,--,34,32,30,43,--,--,268,,,,,,,,,,,
31-Dec-2016,Southern,Cardiology,Acute Services,68,70,--,31,19,11,16,--,--,215,,,,,,,,,,,
31-Dec-2016,Western,Urology,Acute Services,29,4,--,5,1,1,0,--,--,40,,,,,,,,,,,
31-Dec-2016,Western,T & O Surgery,Acute Services,580,231,--,196,202,145,250,--,--,"1,604",,,,,,,,,,,
31-Dec-2016,Western,Ophthalmology,Acute Services,307,112,--,134,114,68,105,--,--,840,,,,,,,,,,,
31-Dec-2016,Western,Cardiology,Acute Services,1,1,--,0,0,0,0,--,--,2,,,,,,,,,,,
31-Mar-2017,Belfast,T & O Surgery,Acute Services,736,359,--,327,129,54,13,--,--,1618,,,,,,,,,,,
31-Mar-2017,Belfast,Ophthalmology,Acute Services,377,256,--,140,69,91,120,--,--,1053,,,,,,,,,,,
31-Mar-2017,Belfast,Dermatology,Acute Services,138,57,--,31,9,11,7,--,--,253,,,,,,,,,,,
31-Mar-2017,Northern,T & O Surgery,Acute Services,1325,414,--,118,6,2,1,--,--,1866,,,,,,,,,,,
31-Mar-2017,Northern,ENT,Acute Services,200,91,--,78,42,27,21,--,--,459,,,,,,,,,,,
31-Mar-2017,Northern,Ophthalmology,Acute Services,140,35,--,42,11,1,0,--,--,229,,,,,,,,,,,
31-Mar-2017,Northern,Dermatology,Acute Services,135,3,--,14,4,7,25,--,--,188,,,,,,,,,,,
31-Mar-2017,South Eastern,T & O Surgery,Acute Services,439,144,--,161,120,88,28,--,--,980,,,,,,,,,,,
31-Mar-2017,South Eastern,Ophthalmology,Acute Services,199,202,--,102,47,41,74,--,--,665,,,,,,,,,,,
31-Mar-2017,South Eastern,Dermatology,Acute Services,151,71,--,87,18,48,117,--,--,492,,,,,,,,,,,
31-Mar-2017,Southern,T & O Surgery,Acute Services,149,104,--,275,159,210,144,--,--,1041,,,,,,,,,,,
31-Mar-2017,Southern,ENT,Acute Services,130,51,--,40,19,32,94,--,--,366,,,,,,,,,,,
31-Mar-2017,Southern,Cardiology,Acute Services,58,14,--,31,28,16,58,--,--,205,,,,,,,,,,,
31-Mar-2017,Western,Urology,Acute Services,37,6,--,3,2,0,1,--,--,49,,,,,,,,,,,
31-Mar-2017,Western,T & O Surgery,Acute Services,635,257,--,190,94,143,267,--,--,1586,,,,,,,,,,,
31-Mar-2017,Western,Ophthalmology,Acute Services,287,137,--,73,50,49,78,--,--,674,,,,,,,,,,,
31-Mar-2017,Western,Cardiology,Acute Services,0,15,--,5,0,0,0,--,--,20,,,,,,,,,,,
30-Jun-2017,Belfast,T & O Surgery,Acute Services,1179,327,--,124,93,15,12,--,--,"1,750",,,,,,,,,,,
30-Jun-2017,Belfast,Ophthalmology,Acute Services,437,189,--,116,110,75,108,--,--,"1,035",,,,,,,,,,,
30-Jun-2017,Belfast,Dermatology,Acute Services,63,37,--,39,36,23,6,--,--,204,,,,,,,,,,,
30-Jun-2017,Northern,T & O Surgery,Acute Services,1421,573,--,79,8,7,0,--,--,"2,088",,,,,,,,,,,
30-Jun-2017,Northern,ENT,Acute Services,212,112,--,71,56,28,41,--,--,520,,,,,,,,,,,
30-Jun-2017,Northern,Ophthalmology,Acute Services,79,31,--,42,17,0,0,--,--,169,,,,,,,,,,,
30-Jun-2017,Northern,Dermatology,Acute Services,187,16,--,3,4,12,37,--,--,259,,,,,,,,,,,
30-Jun-2017,South Eastern,T & O Surgery,Acute Services,678,255,--,37,5,2,3,--,--,980,,,,,,,,,,,
30-Jun-2017,South Eastern,Ophthalmology,Acute Services,190,84,--,72,70,58,218,--,--,692,,,,,,,,,,,
30-Jun-2017,South Eastern,Dermatology,Acute Services,156,72,--,44,34,68,60,--,--,434,,,,,,,,,,,
30-Jun-2017,Southern,T & O Surgery,Acute Services,727,280,--,250,270,259,151,--,--,"1,937",,,,,,,,,,,
30-Jun-2017,Southern,ENT,Acute Services,106,46,--,26,37,43,104,--,--,362,,,,,,,,,,,
30-Jun-2017,Southern,Cardiology,Acute Services,84,21,--,15,25,19,35,--,--,199,,,,,,,,,,,
30-Jun-2017,Western,Urology,Acute Services,29,12,--,8,2,2,7,--,--,60,,,,,,,,,,,
30-Jun-2017,Western,T & O Surgery,Acute Services,508,197,--,177,164,134,347,--,--,"1,527",,,,,,,,,,,
30-Jun-2017,Western,Ophthalmology,Acute Services,344,120,--,93,71,59,22,--,--,709,,,,,,,,,,,
30-Jun-2017,Western,Cardiology,Acute Services,0,0,--,0,0,0,19,--,--,19,,,,,,,,,,,
30-Sep-2017,Belfast,T & O Surgery,Acute Services,959,392,--,302,172,24,8,--,--,"1,857",,,,,,,,,,,
30-Sep-2017,Belfast,Ophthalmology,Acute Services,362,185,--,138,226,145,109,--,--,"1,165",,,,,,,,,,,
30-Sep-2017,Belfast,Dermatology,Acute Services,206,33,--,11,5,3,4,--,--,262,,,,,,,,,,,
30-Sep-2017,Northern,T & O Surgery,Acute Services,1381,541,--,266,50,9,14,--,--,"2,261",,,,,,,,,,,
30-Sep-2017,Northern,ENT,Acute Services,229,50,--,41,20,34,88,--,--,462,,,,,,,,,,,
30-Sep-2017,Northern,Ophthalmology,Acute Services,95,46,--,36,30,25,19,--,--,251,,,,,,,,,,,
30-Sep-2017,Northern,Dermatology,Acute Services,145,17,--,28,18,20,57,--,--,285,,,,,,,,,,,
30-Sep-2017,South Eastern,T & O Surgery,Acute Services,642,320,--,231,135,21,1,--,--,"1,350",,,,,,,,,,,
30-Sep-2017,South Eastern,Ophthalmology,Acute Services,193,84,--,43,57,34,198,--,--,609,,,,,,,,,,,
30-Sep-2017,South Eastern,Dermatology,Acute Services,62,60,--,23,39,48,168,--,--,400,,,,,,,,,,,
30-Sep-2017,Southern,T & O Surgery,Acute Services,788,276,--,225,273,239,375,--,--,"2,176",,,,,,,,,,,
30-Sep-2017,Southern,ENT,Acute Services,96,16,--,21,22,33,165,--,--,353,,,,,,,,,,,
30-Sep-2017,Southern,Cardiology,Acute Services,57,15,--,8,21,34,38,--,--,173,,,,,,,,,,,
30-Sep-2017,Western,Urology,Acute Services,35,10,--,3,1,3,19,--,--,71,,,,,,,,,,,
30-Sep-2017,Western,T & O Surgery,Acute Services,501,197,--,196,144,126,320,--,--,"1,484",,,,,,,,,,,
30-Sep-2017,Western,Ophthalmology,Acute Services,337,130,--,77,45,68,39,--,--,696,,,,,,,,,,,
30-Sep-2017,Western,Cardiology,Acute Services,0,0,--,0,0,0,18,--,--,18,,,,,,,,,,,
31-Dec-2017,Belfast,T & O Surgery,Acute Services,760,432,--,262,74,7,7,--,--,"1,542",,,,,,,,,,,
31-Dec-2017,Belfast,Ophthalmology,Acute Services,352,198,--,216,120,82,78,--,--,"1,046",,,,,,,,,,,
31-Dec-2017,Belfast,Dermatology,Acute Services,123,58,--,28,11,2,27,--,--,249,,,,,,,,,,,
31-Dec-2017,Northern,T & O Surgery,Acute Services,1127,511,--,399,131,7,9,--,--,"2,184",,,,,,,,,,,
31-Dec-2017,Northern,ENT,Acute Services,221,80,--,56,26,14,58,--,--,455,,,,,,,,,,,
31-Dec-2017,Northern,Ophthalmology,Acute Services,74,24,--,41,41,9,3,--,--,192,,,,,,,,,,,
31-Dec-2017,Northern,Dermatology,Acute Services,160,28,--,7,2,3,69,--,--,269,,,,,,,,,,,
31-Dec-2017,South Eastern,T & O Surgery,Acute Services,650,221,--,113,48,5,0,--,--,"1,037",,,,,,,,,,,
31-Dec-2017,South Eastern,Ophthalmology,Acute Services,125,58,--,60,71,37,240,--,--,591,,,,,,,,,,,
31-Dec-2017,South Eastern,Dermatology,Acute Services,85,59,--,37,30,28,53,--,--,292,,,,,,,,,,,
31-Dec-2017,Southern,T & O Surgery,Acute Services,599,316,--,308,305,252,474,--,--,"2,254",,,,,,,,,,,
31-Dec-2017,Southern,ENT,Acute Services,81,54,--,25,20,26,157,--,--,363,,,,,,,,,,,
31-Dec-2017,Southern,Cardiology,Acute Services,80,19,--,14,10,10,27,--,--,160,,,,,,,,,,,
31-Dec-2017,Western,Urology,Acute Services,22,10,--,5,5,6,30,--,--,78,,,,,,,,,,,
31-Dec-2017,Western,T & O Surgery,Acute Services,452,181,--,120,90,66,188,--,--,"1,097",,,,,,,,,,,
31-Dec-2017,Western,Ophthalmology,Acute Services,257,94,--,110,45,31,46,--,--,583,,,,,,,,,,,
31-Dec-2017,Western,Cardiology,Acute Services,0,0,--,0,0,0,17,--,--,17,,,,,,,,,,,
31-Mar-2018,Belfast,T & O Surgery,Acute Services,867,305,--,121,5,2,1,--,--,"1,301",,,,,,,,,,,
31-Mar-2018,Belfast,Ophthalmology,Acute Services,389,251,--,113,42,25,141,--,--,961,,,,,,,,,,,
31-Mar-2018,Belfast,Dermatology,Acute Services,152,78,--,58,30,17,10,--,--,345,,,,,,,,,,,
31-Mar-2018,Northern,T & O Surgery,Acute Services,1635,629,--,474,140,17,9,--,--,"2,904",,,,,,,,,,,
31-Mar-2018,Northern,ENT,Acute Services,96,32,--,10,0,0,23,--,--,161,,,,,,,,,,,
31-Mar-2018,Northern,Ophthalmology,Acute Services,87,45,--,30,14,14,10,--,--,200,,,,,,,,,,,
31-Mar-2018,Northern,Dermatology,Acute Services,218,34,--,16,3,3,59,--,--,333,,,,,,,,,,,
31-Mar-2018,South Eastern,T & O Surgery,Acute Services,632,162,--,225,127,1,59,--,--,"1,206",,,,,,,,,,,
31-Mar-2018,South Eastern,Ophthalmology,Acute Services,129,46,--,55,19,35,234,--,--,518,,,,,,,,,,,
31-Mar-2018,South Eastern,Dermatology,Acute Services,119,47,--,34,14,6,51,--,--,271,,,,,,,,,,,
31-Mar-2018,Southern,T & O Surgery,Acute Services,832,306,--,302,201,293,619,--,--,"2,553",,,,,,,,,,,
31-Mar-2018,Southern,ENT,Acute Services,77,40,--,39,22,14,159,--,--,351,,,,,,,,,,,
31-Mar-2018,Southern,Cardiology,Acute Services,117,35,--,18,5,8,8,--,--,191,,,,,,,,,,,
31-Mar-2018,Western,Urology,Acute Services,33,3,--,4,1,6,31,--,--,78,,,,,,,,,,,
31-Mar-2018,Western,T & O Surgery,Acute Services,563,131,--,62,13,13,90,--,--,872,,,,,,,,,,,
31-Mar-2018,Western,Ophthalmology,Acute Services,321,82,--,52,21,36,46,--,--,558,,,,,,,,,,,
31-Mar-2018,Western,Cardiology,Acute Services,9,0,--,10,6,6,108,--,--,139,,,,,,,,,,,
30-Jun-2018,Belfast,T & O Surgery,Acute Services,1009,490,--,224,16,2,18,--,--,"1,759",,,,,,,,,,,
30-Jun-2018,Belfast,Ophthalmology,Acute Services,429,175,--,220,99,57,180,--,--,"1,160",,,,,,,,,,,
30-Jun-2018,Belfast,Dermatology,Acute Services,116,48,--,60,30,45,17,--,--,316,,,,,,,,,,,
30-Jun-2018,Northern,T & O Surgery,Acute Services,1592,599,--,638,356,178,6,--,--,"3,369",,,,,,,,,,,
30-Jun-2018,Northern,Ophthalmology,Acute Services,162,65,--,45,28,13,1,--,--,314,,,,,,,,,,,
30-Jun-2018,Northern,Dermatology,Acute Services,209,30,--,14,3,4,37,--,--,297,,,,,,,,,,,
30-Jun-2018,South Eastern,T & O Surgery,Acute Services,861,288,--,207,70,13,33,--,--,"1,472",,,,,,,,,,,
30-Jun-2018,South Eastern,Ophthalmology,Acute Services,111,42,--,50,10,13,273,--,--,499,,,,,,,,,,,
30-Jun-2018,South Eastern,Dermatology,Acute Services,63,54,--,16,8,12,49,--,--,202,,,,,,,,,,,
30-Jun-2018,Southern,T & O Surgery,Acute Services,960,392,--,383,295,289,774,--,--,"3,093",,,,,,,,,,,
30-Jun-2018,Southern,ENT,Acute Services,101,37,--,32,19,21,159,--,--,369,,,,,,,,,,,
30-Jun-2018,Southern,Cardiology,Acute Services,67,18,--,21,3,12,3,--,--,124,,,,,,,,,,,
30-Jun-2018,Western,Urology,Acute Services,25,0,--,1,0,1,2,--,--,29,,,,,,,,,,,
30-Jun-2018,Western,T & O Surgery,Acute Services,640,68,--,40,29,47,55,--,--,879,,,,,,,,,,,
30-Jun-2018,Western,Ophthalmology,Acute Services,285,90,--,116,66,38,30,--,--,625,,,,,,,,,,,
30-Jun-2018,Western,Cardiology,Acute Services,20,12,--,11,8,3,8,--,--,62,,,,,,,,,,,
30-Sep-2018,Belfast,T & O Surgery,Acute Services,937,444,--,437,309,36,1,--,--,"2,164",,,,,,,,,,,
30-Sep-2018,Belfast,Ophthalmology,Acute Services,220,104,--,94,170,167,147,--,--,902,,,,,,,,,,,
30-Sep-2018,Belfast,Dermatology,Acute Services,137,61,--,10,12,13,46,--,--,279,,,,,,,,,,,
30-Sep-2018,Northern,T & O Surgery,Acute Services,1505,657,--,577,536,342,112,--,--,"3,729",,,,,,,,,,,
30-Sep-2018,Northern,Ophthalmology,Acute Services,192,99,--,81,53,11,2,--,--,438,,,,,,,,,,,
30-Sep-2018,Northern,Dermatology,Acute Services,168,28,--,11,3,7,5,--,--,222,,,,,,,,,,,
30-Sep-2018,South Eastern,T & O Surgery,Acute Services,832,313,--,154,174,97,857,--,--,"2,427",,,,,,,,,,,
30-Sep-2018,South Eastern,Ophthalmology,Acute Services,120,37,--,36,33,7,299,--,--,532,,,,,,,,,,,
30-Sep-2018,South Eastern,Dermatology,Acute Services,91,35,--,41,25,8,66,--,--,266,,,,,,,,,,,
30-Sep-2018,Southern,T & O Surgery,Acute Services,903,343,--,298,356,293,1235,--,--,"3,428",,,,,,,,,,,
30-Sep-2018,Southern,ENT,Acute Services,95,36,--,16,14,29,135,--,--,325,,,,,,,,,,,
30-Sep-2018,Southern,Cardiology,Acute Services,70,18,--,0,1,0,1,--,--,90,,,,,,,,,,,
30-Sep-2018,Western,Urology,Acute Services,14,0,--,0,0,0,1,--,--,15,,,,,,,,,,,
30-Sep-2018,Western,T & O Surgery,Acute Services,664,198,--,107,79,41,84,--,--,"1,173",,,,,,,,,,,
30-Sep-2018,Western,Ophthalmology,Acute Services,364,125,--,109,74,94,165,--,--,931,,,,,,,,,,,
30-Sep-2018,Western,Cardiology,Acute Services,4,0,--,0,0,0,0,--,--,4,,,,,,,,,,,
31-Dec-2018,Belfast,T & O Surgery,Acute Services,825,454,--,423,524,379,343,--,--,"2,948",,,,,,,,,,,
31-Dec-2018,Belfast,Ophthalmology,Acute Services,210,97,--,110,67,64,153,--,--,701,,,,,,,,,,,
31-Dec-2018,Belfast,Dermatology,Acute Services,89,65,--,45,43,38,71,--,--,351,,,,,,,,,,,
31-Dec-2018,Northern,T & O Surgery,Acute Services,1372,660,--,755,617,480,119,--,--,"4,003",,,,,,,,,,,
31-Dec-2018,Northern,Ophthalmology,Acute Services,238,82,--,81,54,45,22,--,--,522,,,,,,,,,,,
31-Dec-2018,Northern,Dermatology,Acute Services,183,11,--,1,1,0,1,--,--,197,,,,,,,,,,,
31-Dec-2018,South Eastern,T & O Surgery,Acute Services,919,284,--,250,145,68,482,--,--,"2,148",,,,,,,,,,,
31-Dec-2018,South Eastern,Ophthalmology,Acute Services,120,39,--,64,34,22,197,--,--,476,,,,,,,,,,,
31-Dec-2018,South Eastern,Dermatology,Acute Services,91,30,--,21,14,14,72,--,--,242,,,,,,,,,,,
31-Dec-2018,Southern,T & O Surgery,Acute Services,738,352,--,371,380,320,1307,--,--,"3,468",,,,,,,,,,,
31-Dec-2018,Southern,ENT,Acute Services,102,48,--,32,21,19,114,--,--,336,,,,,,,,,,,
31-Dec-2018,Southern,Cardiology,Acute Services,92,19,--,4,3,1,8,--,--,127,,,,,,,,,,,
31-Dec-2018,Western,Urology,Acute Services,37,0,--,1,1,1,1,--,--,41,,,,,,,,,,,
31-Dec-2018,Western,T & O Surgery,Acute Services,495,239,--,181,171,121,31,--,--,"1,238",,,,,,,,,,,
31-Dec-2018,Western,Ophthalmology,Acute Services,285,150,--,103,102,82,254,--,--,976,,,,,,,,,,,
31-Dec-2018,Western,Cardiology,Acute Services,2,0,--,0,0,0,0,--,--,2,,,,,,,,,,,
31-Mar-2019,Belfast,T & O Surgery,Acute Services,916,510,--,435,241,291,507,--,--,"2,900",,,,,,,,,,,
31-Mar-2019,Belfast,Ophthalmology,Acute Services,163,140,--,54,35,30,57,--,--,479,,,,,,,,,,,
31-Mar-2019,Belfast,Dermatology,Acute Services,122,72,--,42,22,28,93,--,--,379,,,,,,,,,,,
31-Mar-2019,Northern,T & O Surgery,Acute Services,1544,695,--,554,303,435,196,--,--,"3,727",,,,,,,,,,,
31-Mar-2019,Northern,Ophthalmology,Acute Services,101,57,--,46,54,36,95,--,--,389,,,,,,,,,,,
31-Mar-2019,Northern,Dermatology,Acute Services,254,106,--,54,25,10,2,--,--,451,,,,,,,,,,,
31-Mar-2019,South Eastern,T & O Surgery,Acute Services,845,293,--,290,114,137,42,--,--,"1,721",,,,,,,,,,,
31-Mar-2019,South Eastern,Ophthalmology,Acute Services,101,58,--,73,25,44,78,--,--,379,,,,,,,,,,,
31-Mar-2019,South Eastern,Dermatology,Acute Services,95,33,--,19,12,12,69,--,--,240,,,,,,,,,,,
31-Mar-2019,Southern,T & O Surgery,Acute Services,981,381,--,361,206,282,1396,--,--,"3,607",,,,,,,,,,,
31-Mar-2019,Southern,ENT,Acute Services,99,41,--,20,16,24,98,--,--,298,,,,,,,,,,,
31-Mar-2019,Southern,Cardiology,Acute Services,102,28,--,5,1,4,7,--,--,147,,,,,,,,,,,
31-Mar-2019,Western,Urology,Acute Services,0,5,--,1,0,4,4,--,--,14,,,,,,,,,,,
31-Mar-2019,Western,T & O Surgery,Acute Services,663,209,--,149,77,129,251,--,--,"1,478",,,,,,,,,,,
31-Mar-2019,Western,Ophthalmology,Acute Services,199,89,--,60,22,37,122,--,--,529,,,,,,,,,,,
31-Mar-2019,Western,Cardiology,Acute Services,11,7,--,0,0,0,0,--,--,18,,,,,,,,,,,
30-Jun-2019,Belfast,T & O Surgery,Acute Services,920,445,--,364,402,262,289,--,--,"2,682",,,,,,,,,,,
30-Jun-2019,Belfast,Ophthalmology,Acute Services,322,108,--,61,7,12,23,--,--,533,,,,,,,,,,,
30-Jun-2019,Belfast,Dermatology,Acute Services,108,52,--,43,35,45,100,--,--,383,,,,,,,,,,,
30-Jun-2019,Northern,T & O Surgery,Acute Services,1655,685,--,575,470,269,49,--,--,"3,703",,,,,,,,,,,
30-Jun-2019,Northern,Ophthalmology,Acute Services,45,45,--,22,34,36,259,--,--,441,,,,,,,,,,,
30-Jun-2019,Northern,Dermatology,Acute Services,317,107,--,61,40,17,4,--,--,546,,,,,,,,,,,
30-Jun-2019,South Eastern,T & O Surgery,Acute Services,916,314,--,286,261,195,213,--,--,"2,185",,,,,,,,,,,
30-Jun-2019,South Eastern,Ophthalmology,Acute Services,190,68,--,39,45,14,56,--,--,412,,,,,,,,,,,
30-Jun-2019,South Eastern,Dermatology,Acute Services,78,39,--,25,10,12,70,--,--,234,,,,,,,,,,,
30-Jun-2019,Southern,T & O Surgery,Acute Services,938,368,--,324,345,360,1319,--,--,"3,654",,,,,,,,,,,
30-Jun-2019,Southern,ENT,Acute Services,91,40,--,32,31,15,86,--,--,295,,,,,,,,,,,
30-Jun-2019,Southern,Cardiology,Acute Services,36,27,--,24,11,4,6,--,--,108,,,,,,,,,,,
30-Jun-2019,Western,Urology,Acute Services,0,0,--,0,0,0,6,--,--,6,,,,,,,,,,,
30-Jun-2019,Western,T & O Surgery,Acute Services,633,213,--,188,168,176,385,--,--,"1,763",,,,,,,,,,,
30-Jun-2019,Western,Ophthalmology,Acute Services,189,67,--,41,27,10,41,--,--,375,,,,,,,,,,,
30-Jun-2019,Western,Cardiology,Acute Services,7,6,--,0,0,0,0,--,--,13,,,,,,,,,,,
30-Sep-2019,Belfast,T & O Surgery,Acute Services,907,398,--,244,335,143,290,--,--,"2,317",,,,,,,,,,,
30-Sep-2019,Belfast,Ophthalmology,Acute Services,316,120,--,97,98,26,23,--,--,680,,,,,,,,,,,
30-Sep-2019,Belfast,Dermatology,Acute Services,109,55,--,25,53,27,160,--,--,429,,,,,,,,,,,
30-Sep-2019,Northern,T & O Surgery,Acute Services,1606,658,--,564,615,389,155,--,--,"3,987",,,,,,,,,,,
30-Sep-2019,Northern,Ophthalmology,Acute Services,85,34,--,12,31,19,245,--,--,426,,,,,,,,,,,
30-Sep-2019,Northern,Dermatology,Acute Services,296,77,--,63,48,13,5,--,--,502,,,,,,,,,,,
30-Sep-2019,South Eastern,T & O Surgery,Acute Services,977,305,--,202,246,140,116,--,--,"1,986",,,,,,,,,,,
30-Sep-2019,South Eastern,Ophthalmology,Acute Services,175,90,--,70,73,48,38,--,--,494,,,,,,,,,,,
30-Sep-2019,South Eastern,Dermatology,Acute Services,71,34,--,28,27,17,100,--,--,277,,,,,,,,,,,
30-Sep-2019,Southern,T & O Surgery,Acute Services,913,399,--,358,372,321,1515,--,--,"3,878",,,,,,,,,,,
30-Sep-2019,Southern,ENT,Acute Services,103,42,--,19,29,19,47,--,--,259,,,,,,,,,,,
30-Sep-2019,Southern,Cardiology,Acute Services,49,35,--,123,203,9,17,--,--,436,,,,,,,,,,,
30-Sep-2019,Western,Urology,Acute Services,0,0,--,0,0,0,6,--,--,6,,,,,,,,,,,
30-Sep-2019,Western,T & O Surgery,Acute Services,688,222,--,143,165,144,595,--,--,"1,957",,,,,,,,,,,
30-Sep-2019,Western,Ophthalmology,Acute Services,205,43,--,46,55,28,137,--,--,514,,,,,,,,,,,
30-Sep-2019,Western,Cardiology,Acute Services,6,0,--,0,0,0,0,--,--,6,,,,,,,,,,,
31-Dec-2019,Belfast,T & O Surgery,Acute Services,696,368,--,337,168,20,22,--,--,"1,611",,,,,,,,,,,
31-Dec-2019,Belfast,Ophthalmology,Acute Services,219,125,--,98,79,44,48,--,--,613,,,,,,,,,,,
31-Dec-2019,Belfast,Dermatology,Acute Services,87,40,--,27,35,31,251,--,--,471,,,,,,,,,,,
31-Dec-2019,Northern,T & O Surgery,Acute Services,1470,638,--,591,630,373,56,--,--,"3,758",,,,,,,,,,,
31-Dec-2019,Northern,Ophthalmology,Acute Services,75,44,--,29,53,40,196,--,--,437,,,,,,,,,,,
31-Dec-2019,Northern,Dermatology,Acute Services,251,104,--,24,6,2,9,--,--,396,,,,,,,,,,,
31-Dec-2019,South Eastern,T & O Surgery,Acute Services,849,374,--,164,17,10,158,--,--,"1,572",,,,,,,,,,,
31-Dec-2019,South Eastern,Ophthalmology,Acute Services,132,110,--,55,48,29,134,--,--,508,,,,,,,,,,,
31-Dec-2019,South Eastern,Dermatology,Acute Services,63,51,--,38,26,35,118,--,--,331,,,,,,,,,,,
31-Dec-2019,Southern,T & O Surgery,Acute Services,615,350,--,383,369,350,1447,--,--,"3,514",,,,,,,,,,,
31-Dec-2019,Southern,ENT,Acute Services,83,50,--,29,31,19,38,--,--,250,,,,,,,,,,,
31-Dec-2019,Southern,Cardiology,Acute Services,48,20,--,33,16,19,260,--,--,396,,,,,,,,,,,
31-Dec-2019,Western,Urology,Acute Services,0,0,--,0,0,0,6,--,--,6,,,,,,,,,,,
31-Dec-2019,Western,T & O Surgery,Acute Services,520,243,--,267,201,163,551,--,--,"1,945",,,,,,,,,,,
31-Dec-2019,Western,Ophthalmology,Acute Services,156,62,--,63,61,43,253,--,--,638,,,,,,,,,,,
31-Dec-2019,Western,Cardiology,Acute Services,0,1,--,2,0,0,0,--,--,3,,,,,,,,,,,
31-Mar-2020,Belfast,T & O Surgery,Acute Services,715,456,--,278,53,20,4,--,--,"1,526",,,,,,,,,,,
31-Mar-2020,Belfast,Ophthalmology,Acute Services,190,134,--,84,10,60,63,--,--,541,,,,,,,,,,,
31-Mar-2020,Belfast,Dermatology,Acute Services,94,37,--,29,22,27,200,--,--,409,,,,,,,,,,,
31-Mar-2020,Northern,T & O Surgery,Acute Services,1512,837,--,697,425,543,1630,--,--,"5,644",,,,,,,,,,,
31-Mar-2020,Northern,Ophthalmology,Acute Services,73,47,--,43,15,31,135,--,--,344,,,,,,,,,,,
31-Mar-2020,Northern,Dermatology,Acute Services,172,90,--,40,10,2,1,--,--,315,,,,,,,,,,,
31-Mar-2020,South Eastern,T & O Surgery,Acute Services,743,314,--,182,66,36,6,--,--,"1,347",,,,,,,,,,,
31-Mar-2020,South Eastern,Ophthalmology,Acute Services,105,73,--,52,27,51,262,--,--,570,,,,,,,,,,,
31-Mar-2020,South Eastern,Dermatology,Acute Services,43,39,--,59,25,31,182,--,--,379,,,,,,,,,,,
31-Mar-2020,Southern,T & O Surgery,Acute Services,588,321,--,303,193,236,1740,--,--,"3,381",,,,,,,,,,,
31-Mar-2020,Southern,ENT,Acute Services,78,41,--,34,8,13,64,--,--,238,,,,,,,,,,,
31-Mar-2020,Southern,Cardiology,Acute Services,56,37,--,13,10,19,253,--,--,388,,,,,,,,,,,
31-Mar-2020,Western,Urology,Acute Services,0,0,--,0,0,0,6,--,--,6,,,,,,,,,,,
31-Mar-2020,Western,T & O Surgery,Acute Services,478,278,--,193,143,178,826,--,--,"2,096",,,,,,,,,,,
